added_by,artist,banner,buy_enabled,description,download_enabled,downloads,host,listens,rating_count,rating_score,release_date,streaming_enabled,title,tracks,views
Hustlehearted1,HoodRich Pablo Juan,none,yes,New mixtape from HoodRich Pablo Juan - Master Sensei 2 available now on DatPiff!,no,,,4775,10,4,10/30/2020,yes,Master Sensei 2,12,9038
Hustlehearted1,IZZE,none,yes,New EP from Izze (Izze The Producer) - Heartbreak Hotel available now on DatPiff!,no,,Izze The Producer,241,0,0,10/29/2020,yes,Heartbreak Hotel,7,1034
Hustlehearted1,Kvng Zeakyy,none,no,New mixtape from Kvng Zeakyy - Young Nigga Shit 2 (Hosted By DJ Young Shawn) available now on DatPiff!,yes,18,DJ Young Shawn,193,0,0,10/29/2020,yes,Young N*gga Sh*t 2,14,697
Hustlehearted1,Berner & Larry June,none,yes,New Ep from Berner & Larry June - Cooks & Orange Juice available now on DatPiff!,no,,,4618,6,5,10/27/2020,yes,Cooks & Orange Juice,7,10487
streetkingpin,Thorobred Boo,exclusive,no,"Thorobred Hustlaz presents Thorobred Boo ""Thoro Since Birth"" featuring Living Legend, Bigga Rankin. Memphis born Thorobred Boo, now residing in Atlanta, GA. is here to make his presence felt. With some dope production that is sure to keep you in a zone it's no wonder why this rising superstar is excited about what the future holds. Make sure to download / stream this and all of Thorobred Boo's music available on ALL Platforms",yes,32,Bigga Rankin,68,1,5,10/27/2020,yes,Thoro Since Birth,10,2608
Hustlehearted1,NBA Youngboy,none,yes,Never Broke Again Records presents NBA Youngboy - Ain't 2 Long mixtape available now on DatPiff!,no,,Never Broke Again Records,19817,16,4,10/25/2020,yes,Never Broke Again Vol 1 (Ain't Too Long 2),16,36495
Hustlehearted1,Dej Loaf,none,yes,New project from Dej Loaf - Sell Sole II available now on DatPiff!,no,,,20722,11,4,10/23/2020,yes,Sell Sole II,16,42310
Hustlehearted1,Joyner Lucas,none,yes,New project from Joyner Lucas - Evolution available now on DatPiff!,no,,,22001,20,4,10/23/2020,yes,Evolution,13,53000
Hustlehearted1,Baby Fendi,none,yes,New mixtape from Baby Fendi - Maybe I'm Too Humble available now on DatPiff!,no,,,876,4,3,10/23/2020,yes,Maybe I'm Too Humble,10,3326
Hustlehearted1,Blacc Zacc,none,yes,New mixtape from Blacc Zacc - 803 Legend available now on DatPiff!,no,,,3391,5,4,10/23/2020,yes,803 Legend,13,7860
Hustlehearted1,Q Da Fool,none,yes,New mixtape from Q Da Fool - Dope On A Spoon available now on DatPiff!,no,,,3746,4,4,10/23/2020,yes,Dope On A Spoon,13,8455
Hustlehearted1,Yak Gotti,none,yes,New mixtape from Yak Gotti - Gotti Outta Here available now on DatPiff!,no,,,3894,10,4,10/23/2020,yes,Gotti Outta Here,14,7968
Hustlehearted1,Trippie Redd,none,yes,New project from Trippie Redd - Spooky Sounds available now on DatPiff!,no,,,9271,19,1,10/22/2020,yes,Spooky Sounds,6,26371
Hustlehearted1,Nef The Pharaoh,none,yes,New project from HereYee HereYee - Nef The Pharaoh available now on DatPiff!,no,,,772,7,3,10/21/2020,yes,Hereyee Hereyee,15,2110
Hustlehearted1,Trapboy Freddy,none,yes,New mixtape from Trapboy Freddy - Big Trap available now on DatPiff!,no,,,6005,8,3,10/21/2020,yes,Big Trap,17,12032
Hustlehearted1,NoLove Stu,none,no,New EP from NoLove Stu - Letters To Thr33 available now on DatPiff!,yes,23,,208,2,5,10/20/2020,yes,Letters To Thr33,3,1155
Hustlehearted1,Lil Wop,none,yes,New mixtape from Lil Wop - Wopster 2 available now on DatPiff!,no,,,2545,12,4,10/17/2020,yes,Wopster 2,12,6358
Hustlehearted1,Benny The Butcher,none,yes,New project from Benny The Butcher - Burden Of Proof available now on DatPiff!,no,,,51085,33,4,10/16/2020,yes,Burden Of Proof,11,95269
Hustlehearted1,SSG Splurge,none,yes,New mixtape from SSG Splurge - Goop Too available now on DatPiff!,no,,,2632,5,3,10/16/2020,yes,Goop Too,11,5304
Hustlehearted1,Black Thought,none,yes,"New project from Black Thought - Streams of Thought, Vol. 3: Cane and Abel available now on DatPiff!",no,,,6282,10,5,10/16/2020,yes,"Streams Of Thought, Vol. 3: Cane And Abel",13,17154
Hustlehearted1,Kur,none,yes,New project from Kur - It Shouldn't Be Like This available now on DatPiff!,no,,,9615,11,4,10/16/2020,yes,It Shouldn't Be Like This,12,20433
Hustlehearted1,Yung Bleu,none,yes,New project from Yung Bleu - Love Scars The 5 Stages Of Emotions (Deluxe) available now on DatPiff!,no,,,10625,5,4,10/16/2020,yes,Love Scars: The 5 Stages Of Emotions (deluxe),3,29446
Hustlehearted1,Webbie,none,yes,New project from Webbie - Savage Life 6 available now on DatPiff!,no,,,17074,21,4,10/16/2020,yes,Savage Life 6,9,39320
flybeats09,Sheek Louch,none,yes,"New mixtape from Sheek Louch ""BeastMode 4"" available now on DatPiff!",no,,,32610,22,4,10/16/2020,yes,BeastMode 4,10,82119
Hustlehearted1,Wes Krave,none,no,New mixtape from Wes Krave - Winning Streak available now on DatPiff!,yes,21,,325,1,5,10/15/2020,yes,Winning Streak,10,1577
streetkingpin,Hankroll Perri,exclusive,no,"Croesus Entertainment presents Washington DC's own Hankroll Perri. His latest offering ""King Me '' hosted by the Living Legend Bigga Rankin is available now on all streaming platforms. Featuring stand out singles like the Lead / Title Track ""King Me '' and ""Trappin All Day '' this project is jammed pack with banger after banger, make sure to stay tuned for more updates, follow Hankroll Perri on all social platforms now. https://linktr.ee/hankrollperriÂ Max (302) 724-1347 maxeway@croesusmediallc.com",yes,95,Bigga Rankin,246,2,5,10/13/2020,yes,King Me,12,2451
Hustlehearted1,NCG Kenny B,none,yes,New mixtape from NCG Kenny B - Kenny Bccormick (East Park) available now on DatPiff!,no,,,457,3,0,10/13/2020,yes,Kenny Bccormick (East Park),7,1845
Hustlehearted1,Bill Waves,none,no,New mixtape from Bill Waves - Yellow Ghost available now on DatPiff!,yes,30,,638,3,3,10/13/2020,yes,Yellow Ghost,8,2511
flybeats09,OBN Jay,sponsored,no,"New EP from OBN Jay ""Pressure Applied"" available now on DatPiff!",yes,135,,2931,7,4,10/10/2020,yes,Pressure Applied EP,6,9418
Hustlehearted1,Famous Dex,none,yes,New project from Famous Dex - Diana available now on DatPiff!,no,,,9719,14,3,10/10/2020,yes,Diana,17,19169
Hustlehearted1,Cdot Honcho,none,yes,New mixtape from Cdot Honcho - H5 available now on DatPiff!,no,,,3667,6,3,10/9/2020,yes,H5,12,7319
Hustlehearted1,Kolyon,none,yes,New mixtape from Kolyon - Rumors Of War available now on DatPiff!,no,,,7334,9,4,10/9/2020,yes,Rumors Of War,16,16259
flybeats09,Papoose,exclusive,no,"New mixtape from Papoose ""Endangered Species"" available now on DatPiff!",yes,1713,,25132,26,4,10/9/2020,yes,Endangered Species,12,72979
Hustlehearted1,BlocBoy JB,none,yes,New project from BlocBoy JB - FatBoy available now on DatPiff!,no,,,22282,15,4,10/8/2020,yes,Fatboy,17,41309
Hustlehearted1,Ksoo,none,no,New mixtape from Ksoo - Violent Child available now on DatPiff!,no,,,861,5,2,10/9/2020,yes,Violent Child,11,2614
flybeats09,MOW,exclusive,no,"New EP from MOW ""Vengeance"" available now on DatPiff!",yes,98,,892,3,5,10/9/2020,yes,Vengeance,5,3383
Hustlehearted1,Lil Loaded,none,yes,New mixtape from Lil Loaded - A Demon In 6lue available now on DatPiff!,no,,,2474,7,3,10/9/2020,yes,A Demon In 6lue,17,5965
Hustlehearted1,D-Block Europe,none,yes,New mixtape from D-Block Europe - The Blue Print - Us vs Them available now on DatPiff!,no,,,2669,6,3,10/9/2020,yes,The Blue Print - Us Vs Them,29,7982
Hustlehearted1,BandGang Lonnie Bands,none,yes,New mixtape BandGang Lonnie Bands - Antisocial 1.5 available now on DatPiff!,no,,,3043,8,4,10/9/2020,yes,Antisocial 1.5,15,6925
Hustlehearted1,Yung Bino,none,yes,New mixtape from Yung Bino - Just Because Ya'll Waited available now on DatPiff!,no,,Hustle Hearted,310,1,0,10/7/2020,yes,Just Because Ya'll Waited,8,1380
flybeats09,Aubrey Omari,none,yes,"New project from Aubrey Omari ""XXI"" available now on DatPiff!",no,,,394,1,0,10/7/2020,yes,XXI,13,2122
flybeats09,Fat Fool,exclusive,no,"New mixtape from Fat Fool ""Rappers & Ball Players"" available now on DatPiff!",yes,202,DJ Holiday,2586,6,3,10/7/2020,yes,Rappers & Ball Players,13,7410
Hustlehearted1,Kush3kidd,none,no,New mixtape from Kush3kidd - Still Big Dreaming available now on DatPiff!,yes,32,,289,2,5,10/7/2020,yes,Still Big Dreaming,6,1492
flybeats09,Lupe Fiasco & Soundtrakk,none,no,"New EP from Lupe Fiasco & Soundtrakk ""TAPE TAPE"" available now on DatPiff!",no,,,4555,14,5,10/4/2020,yes,TAPE TAPE,2,16006
Hustlehearted1,OG 3Three,none,yes,New project from OG 3Three Never Broke Again - The Appetizer available now on DatPiff!,no,,,1211,4,3,10/4/2020,yes,The Appetizer,14,3612
flybeats09,YG,none,no,,no,,,52179,40,4,10/2/2020,yes,My Life 4hunnid,13,95969
21savage,21 Savage & Metro Boomin,none,no,,no,,,166825,65,4,10/2/2020,yes,Savage Mode II,15,240711
Hustlehearted1,MaxThaDemon,none,yes,New mixtape from MaxThaDemon - Demon Season Vol. 3 available now on DatPiff!,no,,,1070,5,2,10/2/2020,yes,Demon Season Vol. 3,9,3150
Hustlehearted1,Noodah05,none,yes,New mixtape from noodah05 - Merciless available now on DatPiff!,no,,,2060,7,4,10/2/2020,yes,Merciless,13,4244
Hustlehearted1,Rockie Fresh,none,yes,New mixtape from Rockie Fresh - Slid Thru Just to Show You Whats Up available now on DatPiff!,no,,,2905,12,3,10/2/2020,yes,Slid Thru Just To Show You Whats Up,13,7112
flybeats09,Sy Ari Da Kid,sponsored,no,"New mixtape from Sy Ari Da Kid ""3 To 5 Business Days"" available now on DatPiff!",yes,417,,4504,7,5,10/2/2020,yes,3 To 5 Business Days,8,11002
Hustlehearted1,Paul Wall,none,yes,New mixtape from Paul Wall - Subculture available now on DatPiff!,no,,,5872,12,5,10/2/2020,yes,Subculture,11,15110
flybeats09,Desean Jackson,exclusive,no,"New mixtape from Desean Jackson ""Against All Odds"" available now on DatPiff!",no,,,7370,10,4,10/2/2020,yes,Against All Odds,11,31849
flybeats09,Yung Bleu,none,no,"New EP from Yung Bleu ""Love Scars: The 5 Stages Of Emotions"" available now on DatPiff!",no,,,7503,10,5,10/2/2020,yes,Love Scars: The 5 Stages Of Emotions,6,17983
Hustlehearted1,Larry June & Harry Fraud,none,yes,New mixtape from Larry June & Harry Fraud - Keep Going available now on DatPiff!,no,,,9113,13,4,10/2/2020,yes,Keep Going,10,16924
flybeats09,Lud Foe,none,no,"New mixtape from Lud Foe ""Guns Up Funds Up"" available now on DatPiff!",no,,,10694,10,4,10/2/2020,yes,Guns Up Funds Up,14,18580
Hustlehearted1,Smoke DZA,none,yes,New mixtape from Smoke DZA - Homegrown available now on DatPiff!,no,,,8709,14,5,10/1/2020,yes,Homegrown,10,18941
flybeats09,Jeezy & Yo Gotti,exclusive,no,,no,,,32309,27,3,10/1/2020,yes,Back,1,98948
trapaholics,BigCity Tez,exclusive,no,BigCity Tez- Streets My ATM Hosted by Trap-A-Holics,yes,83,Trap-A-Holics,368,2,5,10/1/2020,yes,Streets My ATM,8,2000
biggarankin,Respekk,exclusive,no,"Savannah GA artist Respekk's new mixtape E.N.V.Y has 12 solid tracks. Hosted by the OG Bigga Rankin, it's heating up the streets.",yes,50,Bigga Rankin,487,4,4,10/1/2020,yes,E.n.v.y (very Nigga Versus You),12,2236
Hustlehearted1,70th Street Carlos,none,no,New mixtape from 70th Street Carlos - Big 70th For President available now on DatPiff!,no,,,674,4,4,10/1/2020,yes,Big 70th For President,6,2473
Hustlehearted1,La Gualla,exclusive,yes,New mixtape from La Gualla - No Love Lost available now on DatPiff!,no,,,2381,2,3,9/29/2020,yes,No Love Lost,7,7609
Hustlehearted1,Payroll Giovanni,none,yes,New mixtape from Payroll Giovanni - Spirit Of A Boss available now on DatPiff!,no,,,4068,11,4,9/29/2020,yes,Spirit Of A Boss,10,8609
flybeats09,Iman Shumpert,exclusive,no,"NBA's Iman Shumpert & DJ Drama link up for a new Gangsta Grillz mixtape ""Joy Ride"" available now on DatPiff!",no,,DJ Drama,7943,11,3,9/28/2020,yes,Joy Ride: Gangsta Grillz,14,19536
cjames123,Ivory Wade,exclusive,no,,yes,31,,262,1,5,9/29/2020,yes,Bag Talk,8,1600
Hustlehearted1,GENIUS,none,yes,New Ep from GENIUS - Back To The Future available now on DatPiff!,no,,,1244,4,4,9/26/2020,yes,Back To The Future,5,4041
flybeats09,ASAP Ferg,none,no,"New album from ASAP Ferg ""Floor Seats II"" available now!",no,,,25143,21,3,9/25/2020,yes,Floor Seats II,10,51679
Hustlehearted1,Fredo Bang,none,yes,New project from Fredo Bang - In The Name Of Gee available now on DatPiff!,no,,,35306,20,4,9/25/2020,yes,In The Name Of Gee,15,61426
flybeats09,Tory Lanez,none,no,"New surprise album from Tory Lanez ""Daystar"" available now!",no,,,81651,67,4,9/25/2020,yes,Daystar,17,148480
Hustlehearted1,Jaah SLT,none,yes,New mixtape from Jaah SLT - 9-25-20 available now on DatPiff!,no,,,628,1,0,9/25/2020,yes,9/25/2020,10,2219
flybeats09,Camilla,exclusive,no,,yes,86,,1169,5,4,9/25/2020,yes,Misunderstood,10,5723
flybeats09,"Rubberband O.G, Stunna 4 Vegas & Yungeen Ace",none,no,,no,,,1363,2,3,9/25/2020,yes,Bout That Life (Remix),1,7798
Hustlehearted1,John Gabbana,none,yes,New EP from John Gabbana - New Beginnings available now on DatPiff!,no,,,1400,8,3,9/25/2020,yes,New Beginnings,5,5150
flybeats09,Action Bronson,none,no,"New project from Action Bronson ""Only For Dolphins"" available now!",no,,,7897,21,4,9/25/2020,yes,Only For Dolphins,12,16822
Hustlehearted1,Velli,exclusive,no,New mixtape from Velli - Velli Arising available now on DatPiff!,yes,60,,464,2,5,9/24/2020,yes,Velli Arising,5,2521
Hustlehearted1,18Veno,none,yes,New mixtape from 18Veno - Pablo available now on DatPiff!,no,,,745,2,3,9/23/2020,yes,Pablo,11,2374
Hustlehearted1,Mozzy,none,yes,New mixtape from Mozzy - Occupational Hazard available now on DatPiff!,no,,,20677,24,5,9/23/2020,yes,Occupational Hazard,14,35695
Hustlehearted1,Issa,none,yes,New mixtape from Issa - Summer Falls available now on DatPiff!,no,,,1045,5,1,9/22/2020,yes,Summer Falls,14,3318
Hustlehearted1,Da Real Gee Money,exclusive,yes,"New music from Da Real Gee Money ""Ball 4 Ever"" available now exclusively on DatPiff!",no,,,4017,9,4,9/22/2020,yes,Ball 4 Ever,1,13913
Hustlehearted1,NoLove Stu,none,no,New mixtape from NoLove Stu - NoLove Letter available now on DatPiff!,yes,37,,493,2,5,9/23/2020,yes,Nolove Letter,10,2309
flybeats09,Coca Vango,exclusive,yes,"New mixtape from Coca Vango ""From Rags To Jugg Riches"" available now on DatPiff!",no,,,12557,33,4,9/21/2020,yes,From Rags To Jugg Riches,18,31156
Hustlehearted1,Moneybagg Yo & Blac Youngsta,none,yes,New mixtape from Moneybagg Yo & Blac Youngsta - Code Red available now on DatPiff!,no,,,107065,40,4,9/18/2020,yes,Code Red,13,171058
Hustlehearted1,Shyne Grady,none,yes,New mixtape from Shyne Grady - Roses Are Red available now on DatPiff!,no,,,905,1,0,9/19/2020,yes,Roses Are Red,12,2637
Hustlehearted1,Mista Cain,none,yes,New mixtape from Mista Cain - CM4: Til My Heart Stop available now on DatPiff!,no,,Hustle Hearted,3425,6,4,9/18/2020,yes,Cm4: Til My Heart Stop,17,7333
Hustlehearted1,Problem,none,no,"New mixtape from Problem - Coffee & Kush, Vol. 2 available now on DatPiff!",no,,,5679,10,5,9/18/2020,yes,"Coffee & Kush, Vol. 2",11,13570
Hustlehearted1,Toosii,none,yes,New project from Toosii - Poetic Pain available now on DatPiff!,no,,,12777,12,5,9/18/2020,yes,Poetic Pain,17,20887
Hustlehearted1,Curren$y & Harry Fraud,none,no,New mixtape from Curren$y & Harry Fraud - The Director's Cut available now on DatPiff!,no,,,22947,38,4,9/18/2020,yes,The Director's Cut,9,41103
flybeats09,Shy Glizzy,none,yes,"New mixtape from Shy Glizzy ""Young Jefe 3"" available  now on DatPiff!",no,,,48290,28,4,9/18/2020,yes,Young Jefe 3,18,71904
Hustlehearted1,Bankkroll2ks,exclusive,yes,New mixtape from Bankkroll2ks - Plunder available now on DatPiff!,no,,,1361,5,3,9/17/2020,yes,Plunder,11,7753
Hustlehearted1,Skippa Da Flippa,none,yes,New EP from Skippa Da Flippa - Under.Stand.Able available now on DatPiff!,no,,,5792,7,4,9/16/2020,yes,Under.stand.able,6,13540
Hustlehearted1,Berner,none,yes,New mixtape from Berner - Russ Bufalino: The Quiet Don available now on DatPiff!,no,,,7922,14,5,9/16/2020,yes,Russ Bufalino: The Quiet Don,18,16064
Hustlehearted1,Eldorado Red,none,yes,New mixtape from Eldorado Red - Big Chief Talk available now on DatPiff!,no,,,1371,6,3,9/15/2020,yes,Big Chief Talk,9,3800
Hustlehearted1,YN Jay,none,yes,New mixtape from YN Jay - Watch This available now on DatPiff!,no,,,1431,2,3,9/15/2020,yes,Watch This,7,3931
flybeats09,Fbg Duck,none,yes,"New EP from Fbg Duck ""He Back"" available now on DatPiff!",no,,,12181,15,4,9/15/2020,yes,He Back,8,23963
Hustlehearted1,Logic,exclusive,no,New instrumental mixtape from Logic available now on DatPiff!,yes,753,,7427,17,4,9/15/2020,yes,Twitchtape Vol.1,5,19666
Hustlehearted1,BigKayBeezy,none,yes,New mixtape from BigKayBeezy - Bad Intentions available now on DatPiff!,no,,,1174,4,4,9/16/2020,yes,Bad Intentions,17,3030
Hustlehearted1,Quez4Real,none,yes,New mixtape from Quez4Real - Naw 4 Real available now on DatPiff!,no,,,1246,1,0,9/13/2020,yes,Naw 4 Real,12,3048
YungDred,Yung Dred,exclusive,yes,"New mixtape from Yung Dred ""Plaga Montana"" available now exclusively on DatPiff!",no,,,15371,57,4,9/11/2020,yes,Plaga Montana,12,45270
nbayoungboy,YoungBoy Never Broke Again,none,yes,,no,,,84253,40,4,9/11/2020,yes,Top,21,118659
Hustlehearted1,26Coop,none,yes,New EP from 26Coop - Motivation to the Younginz available now on DatPiff!,no,,,1661,4,4,9/11/2020,yes,Motivation To The Younginz,5,4730
bobatl,B.o.B,none,yes,"New mixtape from B.o.B ""Somnia"" available now on DatPiff!",no,,,8916,20,4,9/11/2020,yes,Somnia,10,22233
Hustlehearted1,Lil Reese,none,yes,New mixtape from Lil Reese - Lamron 1 available now on DatPiff!,no,,,14026,14,4,9/11/2020,yes,Lamron 1,6,29447
Hustlehearted1,Hood Brat,none,yes,New mixtape from Hood Brat - Hood Baby available now on DatPiff!,no,,,1837,11,3,9/9/2020,yes,Hood Baby,14,5918
flybeats09,Yowda & Fat Trel,sponsored,no,"New EP from Yowda & Fat Trel ""Fat N Ugly 2"" available now on DatPiff!",yes,311,Trap-A-Holics,6498,9,5,9/8/2020,yes,Fat N Ugly 2 (EP),5,16188
wizkhalifa,Wiz Khalifa,exclusive,no,"WORLD PREMIERE!! New project from Wiz Khalifa ""Big Pimpin"" featuring Curren$y, Chevy Woods, Yoing Deji & production from Harry Fraud, Statik Selektah, Tai & Mufasa.  Big Pimpin available now exclusively on DatPiff!",yes,8796,,312086,81,5,9/8/2020,yes,Big Pimpin',17,416472
Hustlehearted1,Cobb,none,no,New mixtape from Cobb - The Good Son Vol. 2 available now on DatPiff!,yes,33,,391,2,5,9/8/2020,yes,The Good Son Vol. 2,6,2247
Hustlehearted1,OG Dre,none,yes,New mixtape from OG Dre - Original Genius available now on DatPiff!,no,,,549,3,3,9/8/2020,yes,Original Genius,15,2584
Hustlehearted1,Jacquees,none,no,New mixtape from Jacquees - Exit 68 available now on DatPiff!,no,,,54821,22,4,9/7/2020,yes,Exit 68,16,73186
Hustlehearted1,Pap Chanel,none,yes,New mixtape from Pap Chanel - Pretty & Paid available now on DatPiff!,no,,,1199,5,4,9/4/2020,yes,Pretty & Paid,7,4488
Hustlehearted1,WillThaRapper,none,yes,New mixtape from WillThaRapper - Peace Of My Pain 2 available now on DatPiff!,no,,,2445,7,3,9/4/2020,yes,Peace Of My Pain 2,10,7859
flybeats09,Big Sean,none,yes,"The highly anticipated sequel to ""Detroit"" from Big Sean is available now on DatPiff!",no,,,111034,71,5,9/4/2020,yes,Detroit 2,21,171853
Hustlehearted1,Blaze Bar$,none,no,New mixtape from Blaze Bar$ - Make America Trap Again (hosted by DJ Drama) available now on DatPiff!,yes,29,DJ Drama,206,1,5,9/4/2020,yes,Make America Trap Again,16,2211
Hustlehearted1,Johnny Boyie,none,no,New mixtape from Johnny Boyie - Time Invested available now on DatPiff!,yes,32,,790,2,3,9/4/2020,yes,Time Invested,8,3074
Hustlehearted1,Big Havi,none,yes,New mixtape from Big Havi - Personal Problems 2 available now on DatPiff!,no,,,901,2,3,9/4/2020,yes,Personal Problems 2,11,3342
Hustlehearted1,LightSkinKeisha,none,yes,New mixtape from LightSkinKeisha - Clones available now on DatPiff!,no,,,1822,9,3,9/2/2020,yes,Clones,10,6776
Hustlehearted1,Lil 2z,none,yes,New mixtape from Lil 2z - Ashes 2 Ashes available now on DatPiff!,no,,,1426,6,3,9/3/2020,yes,Ashes 2 Ashes,11,3426
Hustlehearted1,Audio Push,none,yes,New EP from Audio Push - No Rest...For the Blessed II available now on DatPiff!,no,,,1102,9,4,8/30/2020,yes,No Rest...for The Blessed II,6,3709
Hustlehearted1,Young Deji,none,yes,"New mixtape from Young Deji ""Lil Woah"" available now on datPiff!",no,,,1264,5,3,8/30/2020,yes,Lil Woah,14,3833
Hustlehearted1,Nyketown Ju,none,yes,New mixtape from Nyketown Ju -  Pyrex Pots & Broken Hearts available now on DatPiff!,no,,,129,1,0,8/30/2020,yes,Pyrex Pots & Broken Hearts,15,1214
Hustlehearted1,The Lox,none,yes,New project from The Lox - Living Off Xperience available now on DatPiff!,no,,,81522,46,4,8/28/2020,yes,Living Off Xperience,14,110909
Hustlehearted1,KenTheMan,none,yes,New mixtape from KenTheMan - 4 Da 304's available now on DatPiff!,no,,,775,3,2,8/29/2020,yes,4 Da 304's,10,2860
Hustlehearted1,Saigon,none,yes,"New EP from Saigon ""777: The Resurrection"" available now on DatPiff!",no,,,2598,10,5,8/29/2020,yes,777: The Resurrection,7,6848
Hustlehearted1,OLAH ONLY,none,no,New mixtape from OLAH ONLY - Broke My Guitar available now on DatPiff!,yes,82,,989,2,3,8/28/2020,yes,Broke My Guitar,6,4193
Hustlehearted1,AD,none,yes,"New EP from AD ""Julio Nights"" available now on DatPiff!",no,,,2321,6,3,8/28/2020,yes,Julio Nights,6,5595
Hustlehearted1,Daniel Heartless,exclusive,no,New mixtape from Daniel Heartless - No Love Lost Vol.1 available now on DatPiff!,yes,153,,2529,5,4,8/28/2020,yes,No Love Lost Vol.1,9,6268
flybeats09,Wifisfuneral,none,no,"New mixtape from Wifisfuneral ""Pain?"" available now on DatPiff!",no,,,3533,8,3,8/28/2020,yes,Pain?,14,7345
flybeats09,Luh Soldier & Big Yavo,sponsored,no,"New mixtape from Luh Soldier & Big Yavo ""Gorilla Warfare"" available now on DatPiff!",yes,240,,5795,10,5,8/28/2020,yes,Gorilla Warfare,8,9687
flybeats09,VIC MENSA,none,yes,,no,,,6166,15,3,8/28/2020,yes,V TAPE,7,15914
flybeats09,Trouble X MMB,exclusive,no,"New mixtape from Trouble x MMB ""The Introduction"" available now on DatPiff!",yes,463,,17760,13,3,8/28/2020,yes,The Introduction,26,46650
Hustlehearted1,Jackboy,none,yes,New project from Jackboy - Living In History available now on DatPiff!,no,,,25454,15,5,8/28/2020,yes,Living In History,14,33806
Hustlehearted1,Yung Bleu,none,yes,"New project from Yung Bleu ""Bleu Vandross 3"" available now on DatPiff!",no,,,28672,16,4,8/28/2020,yes,Bleu Vandross 3,17,35874
Hustlehearted1,Pasto Flocco,none,yes,New EP from Pasto Flocco - RED TENDENCIES available now on DatPiff!,no,,,883,5,2,8/26/2020,yes,Red Tendencies,3,3058
Hustlehearted1,Quando Rondo,none,yes,New project from Quando Rondo - Diary of a Lost Child available now on DatPiff!,no,,,34975,25,4,8/26/2020,yes,Diary Of A Lost Child,16,43389
Hustlehearted1,CashTalk,none,yes,"New mixtape from CashTalk ""Ghetto Children"" available now on DatPiff!",no,,,2939,4,3,8/25/2020,yes,Ghetto Children,12,5130
Hustlehearted1,VL Deck,none,no,"New mixtape from VL Deck ""Trap Pastor 3"" available now on DatPiff!",yes,153,Ferrari Simmons,5329,8,5,8/25/2020,yes,Trap Pastor 3,15,7443
Hustlehearted1,OBN Dev,none,yes,New EP from OBN Dev - Fraud Files available now on DatPiff!,no,,,1447,5,2,8/22/2020,yes,Fraud Files,6,3595
Hustlehearted1,Devinelli,none,no,New mixtape from Devinelli - Love Hard Or Fall Hard available now on DatPiff!,yes,35,,1682,2,3,8/22/2020,yes,Love Hard Or Fall Hard,10,3502
Hustlehearted1,Lecrae,none,yes,New project from Lecrae - Restoration available now on DatPiff!,no,,,13965,10,5,8/21/2020,yes,Restoration,14,19243
Hustlehearted1,Derez De'Shon,none,yes,New project from Derez De'Shon - Pain 3 available now on DatPiff!,no,,,72091,25,4,8/21/2020,yes,Pain 3,19,67228
Hustlehearted1,Dee Watkins,none,yes,New project from Dee Watkins - Problem Child 2 available now on DatPiff!,no,,,13705,5,4,8/20/2020,yes,Problem Child 2,14,15664
Hustlehearted1,Jayy Grams,none,no,New mixtape from Jayy Grams - Red Interior Freestyles available now on DatPiff!,yes,46,,1347,2,5,8/20/2020,yes,Red Interior Freestyles,5,3322
Hustlehearted1,Kj Balla,none,yes,New project from Kj Balla - Resurrection available now on DatPiff!,no,,,3952,6,3,8/20/2020,yes,Resurrection,14,7139
